"","Data is public domain from US government.","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20"
"1","Compiled by combining information from files at: http://gsociology.icaap.org/dataupload.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Country","Region","Population","Area","Pop. Density","Coastline","Net migration","Infant mortality","GDP","Literacy","Phones","Arable","Crops","Other","Climate","Birthrate","Deathrate","Agriculture","Industry","Service"
"4",NA,NA,NA,"sq. mi.","per sq. mi.","coast/area ratio",NA,"per 1000 births","$ per capita","%","per 1000","%","%","%",NA,NA,NA,NA,NA,NA
"5","Afghanistan","ASIA (EX. NEAR EAST)","31056997","647500","47.960000000000001","0","23.059999999999999","163.06999999999999","700","36","3.2200000000000002","12.130000000000001","0.22","87.650000000000006","1","46.600000000000001","20.34","0.38","0.23999999999999999","0.38"
"6","Albania","EASTERN EUROPE","3581655","28748","124.59","1.26","-4.9299999999999997","21.52","4500","86.5","71.200000000000003","21.09","4.4199999999999999","74.489999999999995","3","15.109999999999999","5.2199999999999998","0.23200000000000001","0.188","0.57899999999999996"
"7","Algeria","NORTHERN AFRICA","32930091","2381740","13.83","0.040000000000000001","-0.39000000000000001","31","6000","70","78.099999999999994","3.2200000000000002","0.25","96.530000000000001","1","17.140000000000001","4.6100000000000003","0.10100000000000001","0.59999999999999998","0.29799999999999999"
"8","American Samoa","OCEANIA","57794","199","290.42000000000002","58.289999999999999","-20.710000000000001","9.2699999999999996","8000","97","259.54000000000002","10","15","75","2","22.460000000000001","3.27",NA,NA,NA
"9","Andorra","WESTERN EUROPE","71201","468","152.13999999999999","0","6.5999999999999996","4.0499999999999998","19000","100","497.18000000000001","2.2200000000000002","0","97.780000000000001","3","8.7100000000000009","6.25",NA,NA,NA
"10","Angola","SUB-SAHARAN AFRICA","12127071","1246700","9.7300000000000004","0.13","0","191.19","1900","42","7.7800000000000002","2.4100000000000001","0.23999999999999999","97.349999999999994",NA,"45.109999999999999","24.199999999999999","0.096000000000000002","0.65800000000000003","0.246"
"11","Anguilla","LATIN AMER. & CARIB","13477","102","132.13","59.799999999999997","10.76","21.030000000000001","8600","95","460.04000000000002","0","0","100","2","14.17","5.3399999999999999","0.040000000000000001","0.17999999999999999","0.78000000000000003"
"12","Antigua & Barbuda","LATIN AMER. & CARIB","69108","443","156","34.539999999999999","-6.1500000000000004","19.460000000000001","11000","89","549.86000000000001","18.18","4.5499999999999998","77.269999999999996","2","16.93","5.3700000000000001","0.037999999999999999","0.22","0.74299999999999999"
"13","Argentina","LATIN AMER. & CARIB","39921833","2766890","14.43","0.17999999999999999","0.60999999999999999","15.18","11200","97.099999999999994","220.43000000000001","12.31","0.47999999999999998","87.209999999999994","3","16.73","7.5499999999999998","0.095000000000000001","0.35799999999999998","0.54700000000000004"
"14","Armenia","C.W. OF IND. STATES","2976372","29800","99.879999999999995","0","-6.4699999999999998","23.280000000000001","3500","98.599999999999994","195.71000000000001","17.550000000000001","2.2999999999999998","80.150000000000006","4","12.07","8.2300000000000004","0.23899999999999999","0.34300000000000003","0.41799999999999998"
"15","Aruba","LATIN AMER. & CARIB","71891","193","372.49000000000001","35.490000000000002","0","5.8899999999999997","28000","97","516.05999999999995","10.529999999999999","0","89.469999999999999","2","11.029999999999999","6.6799999999999997","0.0040000000000000001","0.33300000000000002","0.66300000000000003"
"16","Australia","OCEANIA","20264082","7686850","2.6400000000000001","0.34000000000000002","3.98","4.6900000000000004","29000","100","565.52999999999997","6.5499999999999998","0.040000000000000001","93.409999999999997","1","12.140000000000001","7.5099999999999998","0.037999999999999999","0.26200000000000001","0.69999999999999996"
"17","Austria","WESTERN EUROPE","8192880","83870","97.689999999999998","0","2","4.6600000000000001","30000","98","452.22000000000003","16.91","0.85999999999999999","82.230000000000004","3","8.7400000000000002","9.7599999999999998","0.017999999999999999","0.30399999999999999","0.67800000000000005"
"18","Azerbaijan","C.W. OF IND. STATES","7961619","86600","91.939999999999998","0","-4.9000000000000004","81.739999999999995","3400","97","137.08000000000001","19.629999999999999","2.71","77.659999999999997","1","20.739999999999998","9.75","0.14099999999999999","0.45700000000000002","0.40200000000000002"
"19","Bahamas, The","LATIN AMER. & CARIB","303770","13940","21.789999999999999","25.41","-2.2000000000000002","25.210000000000001","16700","95.599999999999994","460.55000000000001","0.80000000000000004","0.40000000000000002","98.799999999999997","2","17.57","9.0500000000000007","0.029999999999999999","0.070000000000000007","0.90000000000000002"
"20","Bahrain","NEAR EAST","698585","665","1050.5","24.210000000000001","1.05","17.27","16900","89.099999999999994","281.27999999999997","2.8199999999999998","5.6299999999999999","91.549999999999997","1","17.800000000000001","4.1399999999999997","0.0050000000000000001","0.38700000000000001","0.60799999999999998"
"21","Bangladesh","ASIA (EX. NEAR EAST)","147365352","144000","1023.37","0.40000000000000002","-0.70999999999999996","62.600000000000001","1900","43.100000000000001","7.2599999999999998","62.109999999999999","3.0699999999999998","34.82","2","29.800000000000001","8.2699999999999996","0.19900000000000001","0.19800000000000001","0.60299999999999998"
"22","Barbados","LATIN AMER. & CARIB","279912","431","649.45000000000005","22.510000000000002","-0.31","12.5","15700","97.400000000000006","481.94","37.210000000000001","2.3300000000000001","60.460000000000001","2","12.710000000000001","8.6699999999999999","0.059999999999999998","0.16","0.78000000000000003"
"23","Belarus","C.W. OF IND. STATES","10293011","207600","49.579999999999998","0","2.54","13.369999999999999","6100","99.599999999999994","319.07999999999998","29.550000000000001","0.59999999999999998","69.849999999999994","4","11.16","14.02","0.092999999999999999","0.316","0.59099999999999997"
"24","Belgium","WESTERN EUROPE","10379067","30528","339.99000000000001","0.22","1.23","4.6799999999999997","29100","98","462.56999999999999","23.280000000000001","0.40000000000000002","76.319999999999993","3","10.380000000000001","10.27","0.01","0.23999999999999999","0.749"
"25","Belize","LATIN AMER. & CARIB","287730","22966","12.529999999999999","1.6799999999999999","0","25.690000000000001","4900","94.099999999999994","115.73","2.8500000000000001","1.71","95.439999999999998","2","28.84","5.7199999999999998","0.14199999999999999","0.152","0.61199999999999999"
"26","Benin","SUB-SAHARAN AFRICA","7862944","112620","69.819999999999993","0.11","0","85","1100","40.899999999999999","9.6999999999999993","18.079999999999998","2.3999999999999999","79.519999999999996","2","38.850000000000001","12.220000000000001","0.316","0.13800000000000001","0.54600000000000004"
"27","Bermuda","NORTHERN AMERICA","65773","53","1241","194.34","2.4900000000000002","8.5299999999999994","36000","98","851.40999999999997","20","0","80","2","11.4","7.7400000000000002","0.01","0.10000000000000001","0.89000000000000001"
"28","Bhutan","ASIA (EX. NEAR EAST)","2279723","47000","48.5","0","0","100.44","1300","42.200000000000003","14.34","3.0899999999999999","0.42999999999999999","96.480000000000004","2","33.649999999999999","12.699999999999999","0.25800000000000001","0.379","0.36299999999999999"
"29","Bolivia","LATIN AMER. & CARIB","8989046","1098580","8.1799999999999997","0","-1.3200000000000001","53.109999999999999","2400","87.200000000000003","71.900000000000006","2.6699999999999999","0.19","97.140000000000001","1.5","23.300000000000001","7.5300000000000002","0.128","0.35199999999999998","0.52000000000000002"
"30","Bosnia & Herzegovina","EASTERN EUROPE","4498976","51129","87.989999999999995","0.040000000000000001","0.31","21.050000000000001","6100",NA,"215.36000000000001","13.6","2.96","83.439999999999998","4","8.7699999999999996","8.2699999999999996","0.14199999999999999","0.308","0.55000000000000004"
"31","Botswana","SUB-SAHARAN AFRICA","1639833","600370","2.73","0","0","54.579999999999998","9000","79.799999999999997","80.5","0.65000000000000002","0.01","99.340000000000003","1","23.079999999999998","29.5","0.024","0.46899999999999997","0.50700000000000001"
"32","Brazil","LATIN AMER. & CARIB","188078227","8511965","22.100000000000001","0.089999999999999997","-0.029999999999999999","29.609999999999999","7600","86.400000000000006","225.34","6.96","0.90000000000000002","92.150000000000006","2","16.559999999999999","6.1699999999999999","0.084000000000000005","0.40000000000000002","0.51600000000000001"
"33","British Virgin Is.","LATIN AMER. & CARIB","23098","153","150.97","52.289999999999999","10.01","18.050000000000001","16000","97.799999999999997","506.54000000000002","20","6.6699999999999999","73.329999999999998","2","14.890000000000001","4.4199999999999999","0.017999999999999999","0.062","0.92000000000000004"
"34","Brunei","ASIA (EX. NEAR EAST)","379444","5770","65.760000000000005","2.79","3.5899999999999999","12.609999999999999","18600","93.900000000000006","237.19","0.56999999999999995","0.76000000000000001","98.670000000000002","2","18.789999999999999","3.4500000000000002","0.035999999999999997","0.56100000000000005","0.40300000000000002"
"35","Bulgaria","EASTERN EUROPE","7385367","110910","66.590000000000003","0.32000000000000001","-4.5800000000000001","20.550000000000001","7600","98.599999999999994","336.26999999999998","40.020000000000003","1.9199999999999999","58.060000000000002","3","9.6500000000000004","14.27","0.092999999999999999","0.30399999999999999","0.60299999999999998"
"36","Burkina Faso","SUB-SAHARAN AFRICA","13902972","274200","50.700000000000003","0","0","97.569999999999993","1100","26.600000000000001","7.0099999999999998","14.43","0.19","85.379999999999995","2","45.619999999999997","15.6","0.32200000000000001","0.19600000000000001","0.48199999999999998"
"37","Burma","ASIA (EX. NEAR EAST)","47382633","678500","69.829999999999998","0.28000000000000003","-1.8","67.239999999999995","1800","85.299999999999997","10.050000000000001","15.19","0.96999999999999997","83.840000000000003","2","17.91","9.8300000000000001","0.56399999999999995","0.082000000000000003","0.35299999999999998"
"38","Burundi","SUB-SAHARAN AFRICA","8090068","27830","290.69999999999999","0","-0.059999999999999998","69.290000000000006","600","51.600000000000001","3.4199999999999999","35.049999999999997","14.02","50.93","2","42.219999999999999","13.460000000000001","0.46300000000000002","0.20300000000000001","0.33400000000000002"
"39","Cambodia","ASIA (EX. NEAR EAST)","13881427","181040","76.680000000000007","0.23999999999999999","0","71.480000000000004","1900","69.400000000000006","2.6200000000000001","20.960000000000001","0.60999999999999999","78.430000000000007","2","26.899999999999999","9.0600000000000005","0.34999999999999998","0.29999999999999999","0.34999999999999998"
"40","Cameroon","SUB-SAHARAN AFRICA","17340702","475440","36.469999999999999","0.080000000000000002","0","68.260000000000005","1800","79","5.7300000000000004","12.81","2.5800000000000001","84.609999999999999","1.5","33.890000000000001","13.470000000000001","0.44800000000000001","0.17000000000000001","0.38200000000000001"
"41","Canada","NORTHERN AMERICA","33098932","9984670","3.3100000000000001","2.02","5.96","4.75","29800","97","552.15999999999997","4.96","0.02","95.019999999999996",NA,"10.779999999999999","7.7999999999999998","0.021999999999999999","0.29399999999999998","0.68400000000000005"
"42","Cape Verde","SUB-SAHARAN AFRICA","420979","4033","104.38","23.93","-12.07","47.770000000000003","1400","76.599999999999994","169.59999999999999","9.6799999999999997","0.5","89.819999999999993","3","24.870000000000001","6.5499999999999998","0.121","0.219","0.66000000000000003"
"43","Cayman Islands","LATIN AMER. & CARIB","45436","262","173.41999999999999","61.07","18.75","8.1899999999999995","35000","98","836.34000000000003","3.8500000000000001","0","96.150000000000006","2","12.74","4.8899999999999997","0.014","0.032000000000000001","0.95399999999999996"
"44","Central African Rep.","SUB-SAHARAN AFRICA","4303356","622984","6.9100000000000001","0","0","91","1100","51","2.3199999999999998","3.1000000000000001","0.14000000000000001","96.760000000000005","2","33.909999999999997","18.649999999999999","0.55000000000000004","0.20000000000000001","0.25"
"45","Chad","SUB-SAHARAN AFRICA","9944201","1284000","7.7400000000000002","0","-0.11","93.819999999999993","1200","47.5","1.3100000000000001","2.8599999999999999","0.02","97.120000000000005","2","45.729999999999997","16.379999999999999","0.33500000000000002","0.25900000000000001","0.40600000000000003"
"46","Chile","LATIN AMER. & CARIB","16134219","756950","21.309999999999999","0.84999999999999998","0","8.8000000000000007","9900","96.200000000000003","212.96000000000001","2.6499999999999999","0.41999999999999998","96.930000000000007","3","15.23","5.8099999999999996","0.059999999999999998","0.49299999999999999","0.44700000000000001"
"47","China","ASIA (EX. NEAR EAST)","1313973713","9596960","136.91999999999999","0.14999999999999999","-0.40000000000000002","24.18","5000","90.900000000000006","266.69999999999999","15.4","1.25","83.349999999999994","1.5","13.25","6.9699999999999998","0.125","0.47299999999999998","0.40300000000000002"
"48","Colombia","LATIN AMER. & CARIB","43593035","1138910","38.280000000000001","0.28000000000000003","-0.31","20.969999999999999","6300","92.5","176.15000000000001","2.4199999999999999","1.6699999999999999","95.909999999999997","2","20.48","5.5800000000000001","0.125","0.34200000000000003","0.53300000000000003"
"49","Comoros","SUB-SAHARAN AFRICA","690948","2170","318.41000000000003","15.67","0","74.930000000000007","700","56.5","24.460000000000001","35.869999999999997","23.32","40.810000000000002","2","36.93","8.1999999999999993","0.40000000000000002","0.040000000000000001","0.56000000000000005"
"50","Congo, Dem. Rep.","SUB-SAHARAN AFRICA","62660551","2345410","26.719999999999999","0","0","94.689999999999998","700","65.5","0.17000000000000001","2.96","0.52000000000000002","96.519999999999996","2","43.689999999999998","13.27","0.55000000000000004","0.11","0.34000000000000002"
"51","Congo, Repub. of the","SUB-SAHARAN AFRICA","3702314","342000","10.83","0.050000000000000003","-0.17000000000000001","93.859999999999999","700","83.799999999999997","3.73","0.51000000000000001","0.13","99.359999999999999","2","42.57","12.93","0.062","0.56999999999999995","0.36899999999999999"
"52","Cook Islands","OCEANIA","21388","240","89.120000000000005","50",NA,NA,"5000","95","289.88","17.390000000000001","13.039999999999999","69.569999999999993","2","21",NA,"0.151","0.096000000000000002","0.753"
"53","Costa Rica","LATIN AMER. & CARIB","4075261","51100","79.75","2.52","0.51000000000000001","9.9499999999999993","9100","96","340.70999999999998","4.4100000000000001","5.8799999999999999","89.709999999999994","2","18.32","4.3600000000000003","0.087999999999999995","0.29899999999999999","0.61399999999999999"
"54","Cote d'Ivoire","SUB-SAHARAN AFRICA","17654843","322460","54.75","0.16","-0.070000000000000007","90.829999999999998","1400","50.899999999999999","14.609999999999999","9.75","13.84","76.409999999999997","2","35.109999999999999","14.84","0.27900000000000003","0.17100000000000001","0.55000000000000004"
"55","Croatia","EASTERN EUROPE","4494749","56542","79.489999999999995","10.32","1.5800000000000001","6.8399999999999999","10600","98.5","420.38","26.09","2.27","71.650000000000006",NA,"9.6099999999999994","11.48","0.070000000000000007","0.308","0.622"
"56","Cuba","LATIN AMER. & CARIB","11382820","110860","102.68000000000001","3.3700000000000001","-1.5800000000000001","6.3300000000000001","2900","97","74.670000000000002","33.049999999999997","7.5999999999999996","59.350000000000001","2","11.890000000000001","7.2199999999999998","0.055","0.26100000000000001","0.68400000000000005"
"57","Cyprus","NEAR EAST","784301","9250","84.790000000000006","7.0099999999999998","0.42999999999999999","7.1799999999999997","19200","97.599999999999994",NA,"7.79","4.4400000000000004","87.769999999999996","3","12.56","7.6799999999999997","0.036999999999999998","0.19800000000000001","0.76500000000000001"
"58","Czech Republic","EASTERN EUROPE","10235455","78866","129.78","0","0.96999999999999997","3.9300000000000002","15700","99.900000000000006","314.32999999999998","39.799999999999997","3.0499999999999998","57.149999999999999","3","9.0199999999999996","10.59","0.034000000000000002","0.39300000000000002","0.57299999999999995"
"59","Denmark","WESTERN EUROPE","5450661","43094","126.48","16.969999999999999","2.48","4.5599999999999996","31100","100","614.60000000000002","54.020000000000003","0.19","45.789999999999999","3","11.130000000000001","10.359999999999999","0.017999999999999999","0.246","0.73499999999999999"
"60","Djibouti","SUB-SAHARAN AFRICA","486530","23000","21.149999999999999","1.3700000000000001","0","104.13","1300","67.900000000000006","22.809999999999999","0.040000000000000001","0","99.959999999999994","1","39.530000000000001","19.309999999999999","0.17899999999999999","0.22500000000000001","0.59599999999999997"
"61","Dominica","LATIN AMER. & CARIB","68910","754","91.390000000000001","19.629999999999999","-13.869999999999999","14.15","5400","94","304.75","6.6699999999999999","20","73.329999999999998","2","15.27","6.7300000000000004","0.17699999999999999","0.32800000000000001","0.495"
"62","Dominican Republic","LATIN AMER. & CARIB","9183984","48730","188.47","2.6400000000000001","-3.2200000000000002","32.380000000000003","6000","84.700000000000003","97.400000000000006","22.649999999999999","10.33","67.019999999999996","2","23.219999999999999","5.7300000000000004","0.112","0.30599999999999999","0.58199999999999996"
"63","East Timor","ASIA (EX. NEAR EAST)","1062777","15007","70.819999999999993","4.7000000000000002","0","47.409999999999997","500","58.600000000000001",NA,"4.71","0.67000000000000004","94.620000000000005","2","26.989999999999998","6.2400000000000002","0.085000000000000006","0.23100000000000001","0.68400000000000005"
"64","Ecuador","LATIN AMER. & CARIB","13547510","283560","47.780000000000001","0.79000000000000004","-8.5800000000000001","23.66","3300","92.5","125.59999999999999","5.8499999999999996","4.9299999999999997","89.219999999999999","2","22.289999999999999","4.2300000000000004","0.070000000000000007","0.312","0.61799999999999999"
"65","Egypt","NORTHERN AFRICA","78887007","1001450","78.769999999999996","0.23999999999999999","-0.22","32.590000000000003","4000","57.700000000000003","131.78","2.8700000000000001","0.47999999999999998","96.650000000000006","1","22.940000000000001","5.2300000000000004","0.14899999999999999","0.35699999999999998","0.49299999999999999"
"66","El Salvador","LATIN AMER. & CARIB","6822378","21040","324.25999999999999","1.46","-3.7400000000000002","25.100000000000001","4800","80.200000000000003","142.40000000000001","31.850000000000001","12.07","56.079999999999998","2","26.609999999999999","5.7800000000000002","0.099000000000000005","0.30199999999999999","0.59899999999999998"
"67","Equatorial Guinea","SUB-SAHARAN AFRICA","540109","28051","19.25","1.0600000000000001","0","85.129999999999995","2700","85.700000000000003","18.510000000000002","4.6299999999999999","3.5699999999999998","91.799999999999997","2","35.590000000000003","15.06","0.029999999999999999","0.90600000000000003","0.062"
"68","Eritrea","SUB-SAHARAN AFRICA","4786994","121320","39.460000000000001","1.8400000000000001","0","74.870000000000005","700","58.600000000000001","7.8799999999999999","4.9500000000000002","0.029999999999999999","95.019999999999996","1.5","34.329999999999998","9.5999999999999996","0.10199999999999999","0.254","0.64300000000000002"
"69","Estonia","BALTICS","1324333","45226","29.280000000000001","8.3900000000000006","-3.1600000000000001","7.8700000000000001","12300","99.799999999999997","333.75","16.039999999999999","0.45000000000000001","83.510000000000005","3","10.039999999999999","13.25","0.040000000000000001","0.29399999999999998","0.66600000000000004"
"70","Ethiopia","SUB-SAHARAN AFRICA","74777981","1127127","66.340000000000003","0","0","95.319999999999993","700","42.700000000000003","8.1600000000000001","10.710000000000001","0.75","88.540000000000006","2","37.979999999999997","14.859999999999999","0.47499999999999998","0.099000000000000005","0.42599999999999999"
"71","Faroe Islands","WESTERN EUROPE","47246","1399","33.770000000000003","79.840000000000003","1.4099999999999999","6.2400000000000002","22000",NA,"503.75","2.1400000000000001","0","97.859999999999999",NA,"14.050000000000001","8.6999999999999993","0.27000000000000002","0.11","0.62"
"72","Fiji","OCEANIA","905949","18270","49.590000000000003","6.1799999999999997","-3.1400000000000001","12.619999999999999","5800","93.700000000000003","112.59","10.949999999999999","4.6500000000000004","84.400000000000006","2","22.550000000000001","5.6500000000000004","0.088999999999999996","0.13500000000000001","0.77600000000000002"
"73","Finland","WESTERN EUROPE","5231372","338145","15.470000000000001","0.37","0.94999999999999996","3.5699999999999998","27400","100","405.25","7.1900000000000004","0.029999999999999999","92.780000000000001","3","10.449999999999999","9.8599999999999994","0.028000000000000001","0.29499999999999998","0.67600000000000005"
"74","France","WESTERN EUROPE","60876136","547030","111.28","0.63","0.66000000000000003","4.2599999999999998","27600","99","586.44000000000005","33.530000000000001","2.0699999999999998","64.400000000000006","4","11.99","9.1400000000000006","0.021999999999999999","0.214","0.76400000000000001"
"75","French Guiana","LATIN AMER. & CARIB","199509","91000","2.1899999999999999","0.41999999999999998","6.2699999999999996","12.07","8300","83","255.63","0.14000000000000001","0.050000000000000003","99.810000000000002","2","20.460000000000001","4.8799999999999999","0.066000000000000003","0.156","0.77800000000000002"
"76","French Polynesia","OCEANIA","274578","4167","65.890000000000001","60.600000000000001","2.9399999999999999","8.4399999999999995","17500","98","194.47999999999999","0.81999999999999995","5.46","93.719999999999999","2","16.68","4.6900000000000004","0.031","0.19","0.76900000000000002"
"77","Gabon","SUB-SAHARAN AFRICA","1424906","267667","5.3200000000000003","0.33000000000000002","0","53.640000000000001","5500","63.200000000000003","27.440000000000001","1.26","0.66000000000000003","98.079999999999998","2","36.159999999999997","12.25","0.060999999999999999","0.59199999999999997","0.34799999999999998"
"78","Gambia, The","SUB-SAHARAN AFRICA","1641564","11300","145.27000000000001","0.70999999999999996","1.5700000000000001","72.019999999999996","1700","40.100000000000001","26.800000000000001","25","0.5","74.5","2","39.369999999999997","12.25","0.308","0.14199999999999999","0.54900000000000004"
"79","Gaza Strip","NEAR EAST","1428757","360","3968.77","11.109999999999999","1.6000000000000001","22.93","600",NA,"244.27000000000001","28.949999999999999","21.050000000000001","50","3","39.450000000000003","3.7999999999999998","0.029999999999999999","0.28299999999999997","0.68700000000000006"
"80","Georgia","C.W. OF IND. STATES","4661473","69700","66.879999999999995","0.44","-4.7000000000000002","18.59","2500","99","146.56","11.44","3.8599999999999999","84.700000000000003","3","10.41","9.2300000000000004","0.17199999999999999","0.27500000000000002","0.55300000000000005"
"81","Germany","WESTERN EUROPE","82422299","357021","230.86000000000001","0.67000000000000004","2.1800000000000002","4.1600000000000001","27600","99","667.85000000000002","33.850000000000001","0.58999999999999997","65.560000000000002","3","8.25","10.619999999999999","0.0089999999999999993","0.29599999999999999","0.69499999999999995"
"82","Ghana","SUB-SAHARAN AFRICA","22409572","239460","93.579999999999998","0.23000000000000001","-0.64000000000000001","51.43","2200","74.799999999999997","14.35","16.260000000000002","9.6699999999999999","74.069999999999993","2","30.52","9.7200000000000006","0.36599999999999999","0.246","0.38700000000000001"
"83","Gibraltar","WESTERN EUROPE","27928","7","3989.71","171.43000000000001","0","5.1299999999999999","17500",NA,"877.69000000000005","0","0","100",NA,"10.74","9.3100000000000005",NA,NA,NA
"84","Greece","WESTERN EUROPE","10688058","131940","81.010000000000005","10.369999999999999","2.3500000000000001","5.5300000000000002","20000","97.5","589.72000000000003","21.100000000000001","8.7799999999999994","70.120000000000005","3","9.6799999999999997","10.24","0.053999999999999999","0.21299999999999999","0.73299999999999998"
"85","Greenland","NORTHERN AMERICA","56361","2166086","0.029999999999999999","2.04","-8.3699999999999992","15.82","20000",NA,"448.88999999999999","0","0","100","1","15.93","7.8399999999999999",NA,NA,NA
"86","Grenada","LATIN AMER. & CARIB","89703","344","260.75999999999999","35.170000000000002","-13.92","14.619999999999999","5000","98","364.54000000000002","5.8799999999999999","29.41","64.709999999999994","2","22.079999999999998","6.8799999999999999","0.053999999999999999","0.17999999999999999","0.76600000000000001"
"87","Guadeloupe","LATIN AMER. & CARIB","452776","1780","254.37","17.190000000000001","-0.14999999999999999","8.5999999999999996","8000","90","463.81","11.24","3.5499999999999998","85.209999999999994","2","15.050000000000001","6.0899999999999999","0.14999999999999999","0.17000000000000001","0.68000000000000005"
"88","Guam","OCEANIA","171019","541","316.12","23.199999999999999","0","6.9400000000000004","21000","99","491.95999999999998","9.0899999999999999","16.359999999999999","74.549999999999997","2","18.789999999999999","4.4800000000000004",NA,NA,NA
"89","Guatemala","LATIN AMER. & CARIB","12293545","108890","112.90000000000001","0.37","-1.6699999999999999","35.93","4100","70.599999999999994","92.090000000000003","12.539999999999999","5.0300000000000002","82.430000000000007","2","29.879999999999999","5.2000000000000002","0.22700000000000001","0.188","0.58499999999999996"
"90","Guernsey","WESTERN EUROPE","65409","78","838.58000000000004","64.099999999999994","3.8399999999999999","4.71","20000",NA,"842.38999999999999",NA,NA,NA,"3","8.8100000000000005","10.01","0.029999999999999999","0.10000000000000001","0.87"
"91","Guinea","SUB-SAHARAN AFRICA","9690222","245857","39.409999999999997","0.13","-3.0600000000000001","90.370000000000005","2100","35.899999999999999","2.7000000000000002","3.6299999999999999","2.5800000000000001","93.790000000000006","2","41.759999999999998","15.48","0.23699999999999999","0.36199999999999999","0.40100000000000002"
